model,composer,exact_match,line_type
Qwen2.5-Coder 0.5B,FL-4K,22.6,inproject
Qwen2.5-Coder 0.5B,PD-16K,44.2,inproject
Qwen2.5-Coder 0.5B,FL-4K,27.5,infile
Qwen2.5-Coder 0.5B,PD-16K,43.2,infile
DeepSeek Coder 1.3B,FL-4K,25.1,inproject
DeepSeek Coder 1.3B,PD-16K,42.3,inproject
DeepSeek Coder 1.3B,FL-4K,30.3,infile
DeepSeek Coder 1.3B,PD-16K,43.8,infile
OpenCoder 1.5B,FL-4K,26.4,inproject
OpenCoder 1.5B,PD-16K,0.0,inproject
OpenCoder 1.5B,FL-4K,32.6,infile
OpenCoder 1.5B,PD-16K,0.0,infile
Qwen2.5-Coder 1.5B,FL-4K,27.2,inproject
Qwen2.5-Coder 1.5B,PD-16K,48.5,inproject
Qwen2.5-Coder 1.5B,FL-4K,34.3,infile
Qwen2.5-Coder 1.5B,PD-16K,49.7,infile
OpenCoder 1.5B (FL),FL-4K,25.9,inproject
OpenCoder 1.5B (FL),PD-16K,45.2,inproject
OpenCoder 1.5B (FL),FL-4K,33.0,infile
OpenCoder 1.5B (FL),PD-16K,44.6,infile
OpenCoder 1.5B (PD),FL-4K,26.2,inproject
OpenCoder 1.5B (PD),PD-16K,48.8,inproject
OpenCoder 1.5B (PD),FL-4K,33.1,infile
OpenCoder 1.5B (PD),PD-16K,47.6,infile
